Date,Brand,Region,Sales Volume,Revenue ($),Average Price per Unit ($)
2022-02-14,Gucci,North America,16,19200,1200
2021-07-16,Louis Vuitton,Australia,19,47500,2500
2022-11-28,Louis Vuitton,Europe,17,42500,2500
2023-01-08,Louis Vuitton,Asia,28,70000,2500
2024-05-04,Gucci,North America,85,102000,1200
2023-11-15,Louis Vuitton,North America,88,220000,2500
2022-06-13,Rolex,North America,38,304000,8000
2023-12-28,Chanel,Europe,50,150000,3000
2024-05-28,Rolex,Europe,87,696000,8000
2022-09-06,Chanel,Asia,58,174000,3000
2023-05-20,Gucci,North America,28,33600,1200
2024-08-12,Gucci,Europe,8,9600,1200
2021-12-20,Chanel,North America,59,177000,3000
2022-11-24,Dior,North America,41,61500,1500
2024-01-10,Gucci,Asia,93,111600,1200
2025-02-02,Rolex,Asia,15,120000,8000
2021-06-27,Gucci,Europe,35,42000,1200
2024-03-13,Rolex,North America,44,352000,8000
2022-08-16,Dior,Middle East,48,72000,1500
2022-05-23,Louis Vuitton,Asia,95,237500,2500
2022-03-09,Dior,Australia,15,22500,1500
2022-04-25,Chanel,Australia,60,180000,3000
2024-07-31,Rolex,North America,67,536000,8000
2021-03-30,Gucci,Asia,23,27600,1200
2023-06-24,Dior,Asia,35,52500,1500
2024-08-11,Dior,Europe,23,34500,1500
2022-01-29,Rolex,Asia,63,504000,8000
2022-04-05,Gucci,Middle East,85,102000,1200
2022-11-16,Louis Vuitton,Europe,68,170000,2500
2023-08-17,Gucci,Australia,26,31200,1200
2022-05-31,Rolex,Middle East,23,184000,8000
2024-11-08,Louis Vuitton,Middle East,10,25000,2500
2022-08-16,Gucci,Asia,56,67200,1200
2022-01-14,Gucci,Europe,35,42000,1200
2022-03-21,Gucci,Middle East,41,49200,1200
2023-11-30,Chanel,Middle East,30,90000,3000
2024-10-14,Chanel,North America,14,42000,3000
2023-03-20,Rolex,North America,89,712000,8000
2022-05-10,Louis Vuitton,Asia,44,110000,2500
2022-06-04,Rolex,Europe,5,40000,8000
2023-12-16,Louis Vuitton,Middle East,29,72500,2500
2022-07-19,Gucci,Asia,96,115200,1200
2022-09-12,Rolex,Australia,93,744000,8000
2023-06-09,Chanel,Australia,75,225000,3000
2021-12-06,Rolex,Europe,77,616000,8000
2022-04-27,Dior,Australia,94,141000,1500
2025-01-02,Dior,Asia,71,106500,1500
2022-12-01,Louis Vuitton,Middle East,91,227500,2500
2021-03-26,Chanel,North America,70,210000,3000
2023-12-15,Chanel,Australia,73,219000,3000
2024-10-09,Louis Vuitton,Middle East,66,165000,2500
2023-05-05,Chanel,Asia,12,36000,3000
2023-11-14,Rolex,Asia,80,640000,8000
2021-05-06,Chanel,Europe,38,114000,3000
2022-06-29,Chanel,Australia,94,282000,3000
2023-09-25,Rolex,Middle East,58,464000,8000
2025-01-09,Dior,Middle East,31,46500,1500
2022-08-05,Gucci,Asia,13,15600,1200
2023-05-31,Chanel,Europe,56,168000,3000
2022-06-04,Louis Vuitton,North America,65,162500,2500
2025-02-21,Chanel,Asia,80,240000,3000
2022-10-09,Gucci,North America,87,104400,1200
2021-10-05,Rolex,Asia,25,200000,8000
2021-09-29,Chanel,North America,79,237000,3000
2022-01-12,Gucci,Australia,47,56400,1200
2021-03-03,Gucci,North America,30,36000,1200
2022-02-28,Louis Vuitton,Middle East,83,207500,2500
2024-03-10,Chanel,Middle East,66,198000,3000
2024-06-26,Gucci,North America,99,118800,1200
2024-03-01,Chanel,Asia,80,240000,3000
2024-01-27,Louis Vuitton,Asia,55,137500,2500
2024-02-01,Gucci,Australia,25,30000,1200
2022-04-03,Rolex,Australia,90,720000,8000
2024-03-31,Rolex,Asia,20,160000,8000
2021-08-21,Louis Vuitton,North America,84,210000,2500
2022-01-10,Dior,Middle East,9,13500,1500
2022-12-23,Dior,Asia,75,112500,1500
2023-04-13,Rolex,North America,85,680000,8000
2021-04-15,Chanel,Europe,78,234000,3000
2023-09-04,Louis Vuitton,Asia,53,132500,2500
2024-10-21,Gucci,Middle East,2,2400,1200
2021-05-14,Dior,Europe,51,76500,1500
2024-10-02,Rolex,North America,29,232000,8000
2021-04-14,Louis Vuitton,Europe,9,22500,2500
2021-03-15,Louis Vuitton,Europe,12,30000,2500
2024-01-14,Gucci,Australia,77,92400,1200
2023-02-25,Chanel,Middle East,86,258000,3000
2023-03-12,Rolex,Middle East,27,216000,8000
2022-10-05,Gucci,Asia,16,19200,1200
2021-10-03,Rolex,Asia,36,288000,8000
2021-06-17,Rolex,Australia,99,792000,8000
2023-09-22,Chanel,Europe,6,18000,3000
2022-09-02,Louis Vuitton,Australia,26,65000,2500
2024-06-09,Dior,Australia,18,27000,1500
2023-12-29,Gucci,North America,94,112800,1200
2024-10-02,Louis Vuitton,North America,32,80000,2500
2024-06-28,Louis Vuitton,North America,95,237500,2500
2022-10-09,Chanel,Australia,60,180000,3000
2024-03-27,Rolex,North America,78,624000,8000
2023-06-04,Louis Vuitton,Australia,97,242500,2500
2024-07-17,Chanel,North America,53,159000,3000
2023-05-13,Gucci,Middle East,48,57600,1200
2024-05-23,Rolex,North America,44,352000,8000
2023-12-13,Rolex,North America,6,48000,8000
2021-09-17,Chanel,Asia,52,156000,3000
2021-08-31,Chanel,North America,88,264000,3000
2021-05-27,Chanel,Australia,19,57000,3000
2022-06-22,Dior,North America,32,48000,1500
2022-12-16,Louis Vuitton,Asia,22,55000,2500
2021-10-14,Chanel,Middle East,48,144000,3000
2022-06-04,Chanel,Middle East,52,156000,3000
2024-04-11,Chanel,Europe,95,285000,3000
2023-03-05,Dior,Middle East,91,136500,1500
2023-11-06,Gucci,Asia,98,117600,1200
2024-09-29,Dior,Australia,73,109500,1500
2024-06-21,Dior,Middle East,37,55500,1500
2023-08-22,Chanel,Middle East,32,96000,3000
2023-04-10,Rolex,Asia,41,328000,8000
2022-09-03,Dior,Middle East,10,15000,1500
2023-07-25,Dior,Middle East,17,25500,1500
2023-12-20,Dior,Europe,70,105000,1500
2021-03-09,Dior,North America,22,33000,1500
2021-09-14,Louis Vuitton,Middle East,39,97500,2500
2023-11-04,Gucci,Europe,87,104400,1200
2023-04-09,Gucci,Middle East,22,26400,1200
2021-07-31,Louis Vuitton,Europe,66,165000,2500
2022-10-27,Chanel,Middle East,6,18000,3000
2023-10-06,Dior,Asia,1,1500,1500
2022-04-07,Gucci,North America,41,49200,1200
2023-12-22,Chanel,North America,28,84000,3000
2025-02-20,Chanel,Asia,39,117000,3000
2024-02-02,Chanel,North America,40,120000,3000
2023-05-07,Gucci,Asia,83,99600,1200
2024-01-15,Gucci,North America,33,39600,1200
2023-05-07,Chanel,Australia,8,24000,3000
2021-12-08,Rolex,Europe,99,792000,8000
2022-05-19,Gucci,North America,23,27600,1200
2021-07-21,Dior,Middle East,94,141000,1500
2023-05-18,Chanel,Middle East,92,276000,3000
2023-05-17,Louis Vuitton,Europe,15,37500,2500
2022-04-02,Chanel,Europe,74,222000,3000
2023-07-13,Rolex,Europe,14,112000,8000
2024-12-15,Dior,Middle East,70,105000,1500
2024-07-05,Louis Vuitton,North America,35,87500,2500
2022-07-24,Chanel,North America,80,240000,3000
2022-09-25,Chanel,Europe,74,222000,3000
2022-09-22,Louis Vuitton,Asia,82,205000,2500
2022-09-24,Rolex,Middle East,60,480000,8000
2022-07-21,Chanel,Asia,73,219000,3000
2023-11-19,Chanel,Europe,58,174000,3000
2022-01-17,Dior,Europe,24,36000,1500
2024-07-04,Chanel,Asia,7,21000,3000
2023-03-14,Louis Vuitton,Asia,28,70000,2500
2022-04-11,Dior,Middle East,55,82500,1500
2024-12-06,Louis Vuitton,Europe,96,240000,2500
2024-04-09,Dior,Middle East,38,57000,1500
2021-08-16,Louis Vuitton,North America,74,185000,2500
2022-03-01,Chanel,Europe,24,72000,3000
2023-08-08,Chanel,Australia,32,96000,3000
2021-08-30,Rolex,Middle East,29,232000,8000
2021-08-24,Chanel,Europe,23,69000,3000
2021-05-10,Rolex,Asia,24,192000,8000
2021-08-13,Louis Vuitton,Middle East,17,42500,2500
2022-06-07,Dior,Asia,28,42000,1500
2022-11-18,Dior,North America,11,16500,1500
2021-06-12,Chanel,North America,99,297000,3000
2022-03-17,Gucci,Europe,54,64800,1200
2024-05-19,Gucci,Europe,57,68400,1200
2021-08-04,Dior,Middle East,71,106500,1500
2023-01-31,Louis Vuitton,North America,1,2500,2500
2024-11-11,Chanel,Europe,97,291000,3000
2024-12-15,Dior,Australia,39,58500,1500
2021-04-05,Dior,Middle East,92,138000,1500
2021-06-09,Chanel,Europe,65,195000,3000
2023-10-10,Gucci,North America,89,106800,1200
2022-05-12,Dior,North America,94,141000,1500
2021-07-29,Gucci,Middle East,16,19200,1200
2024-04-06,Louis Vuitton,Asia,40,100000,2500
2024-12-17,Louis Vuitton,Australia,78,195000,2500
2024-06-28,Gucci,Australia,55,66000,1200
2021-05-11,Louis Vuitton,Europe,84,210000,2500
2023-08-06,Dior,North America,39,58500,1500
2022-02-01,Chanel,Asia,99,297000,3000
2023-08-29,Rolex,North America,56,448000,8000
2022-07-08,Gucci,Australia,77,92400,1200
2024-12-09,Gucci,Middle East,56,67200,1200
2023-01-03,Rolex,Asia,33,264000,8000
2022-07-21,Chanel,North America,73,219000,3000
2024-05-20,Louis Vuitton,North America,61,152500,2500
2023-08-09,Rolex,North America,54,432000,8000
2022-11-15,Chanel,Middle East,86,258000,3000
2025-02-08,Chanel,Europe,20,60000,3000
2024-07-24,Louis Vuitton,Asia,18,45000,2500
2023-03-11,Dior,Middle East,90,135000,1500
2021-10-25,Louis Vuitton,Europe,66,165000,2500
2022-05-23,Louis Vuitton,North America,38,95000,2500
2022-06-12,Gucci,Asia,38,45600,1200
2023-05-20,Rolex,Europe,18,144000,8000
2021-10-15,Rolex,Asia,76,608000,8000
2024-10-24,Rolex,Europe,88,704000,8000
2024-12-08,Chanel,Australia,95,285000,3000
2023-03-24,Louis Vuitton,Asia,81,202500,2500
2023-03-31,Gucci,Asia,20,24000,1200
2022-10-24,Gucci,Europe,17,20400,1200
2022-09-29,Dior,North America,70,105000,1500
2023-04-09,Chanel,Middle East,88,264000,3000
2022-05-07,Dior,Asia,36,54000,1500
2021-09-28,Dior,Asia,27,40500,1500
2023-04-25,Chanel,Australia,54,162000,3000
2023-01-19,Louis Vuitton,North America,68,170000,2500
2024-07-18,Chanel,North America,27,81000,3000
2021-03-28,Gucci,Asia,83,99600,1200
2022-03-27,Chanel,Australia,89,267000,3000
2024-07-23,Dior,Europe,31,46500,1500
2023-04-21,Rolex,Asia,66,528000,8000
2023-12-17,Rolex,North America,44,352000,8000
2023-07-03,Louis Vuitton,Europe,16,40000,2500
2021-11-05,Chanel,North America,6,18000,3000
2023-06-07,Louis Vuitton,North America,27,67500,2500
2021-06-26,Gucci,Asia,40,48000,1200
2024-02-07,Dior,Europe,98,147000,1500
2023-06-30,Dior,Middle East,35,52500,1500
2022-01-14,Dior,Middle East,78,117000,1500
2024-12-14,Rolex,Middle East,16,128000,8000
2021-11-15,Rolex,Europe,26,208000,8000
2023-01-06,Gucci,Asia,43,51600,1200
2024-07-22,Rolex,Asia,29,232000,8000
2021-09-10,Dior,Middle East,59,88500,1500
2023-06-13,Dior,Middle East,39,58500,1500
2021-06-21,Louis Vuitton,Australia,65,162500,2500
2023-07-03,Louis Vuitton,Middle East,62,155000,2500
2023-12-30,Chanel,Middle East,55,165000,3000
2021-07-03,Rolex,Australia,43,344000,8000
2022-01-26,Rolex,Australia,87,696000,8000
2021-08-09,Chanel,Europe,43,129000,3000
2024-07-02,Gucci,Middle East,42,50400,1200
2022-07-18,Louis Vuitton,Middle East,78,195000,2500
2022-05-21,Louis Vuitton,Australia,35,87500,2500
2022-02-15,Louis Vuitton,Australia,27,67500,2500
2024-11-21,Dior,Australia,10,15000,1500
2021-10-12,Gucci,Europe,61,73200,1200
2021-12-01,Dior,Europe,3,4500,1500
2023-02-07,Rolex,Asia,16,128000,8000
2023-03-11,Dior,Middle East,6,9000,1500
2023-09-10,Louis Vuitton,North America,66,165000,2500
2023-02-03,Louis Vuitton,Middle East,2,5000,2500
2024-09-18,Gucci,Asia,45,54000,1200
2024-05-03,Rolex,Asia,39,312000,8000
2022-08-11,Rolex,Australia,59,472000,8000
2024-05-31,Gucci,Asia,2,2400,1200
2023-12-30,Rolex,Europe,58,464000,8000
2022-09-10,Gucci,North America,81,97200,1200
2024-08-17,Gucci,Middle East,30,36000,1200
2024-10-25,Gucci,Middle East,10,12000,1200
2023-07-07,Chanel,Europe,83,249000,3000
2021-10-24,Rolex,North America,7,56000,8000
2021-12-25,Dior,Asia,7,10500,1500
2022-07-28,Chanel,Australia,22,66000,3000
2022-05-08,Louis Vuitton,Australia,21,52500,2500
2022-03-15,Gucci,Australia,36,43200,1200
2024-02-11,Louis Vuitton,Europe,86,215000,2500
2022-06-05,Gucci,North America,77,92400,1200
2023-12-26,Louis Vuitton,North America,30,75000,2500
2021-12-03,Gucci,Middle East,5,6000,1200
2024-05-20,Gucci,Middle East,40,48000,1200
2025-02-13,Chanel,Middle East,44,132000,3000
2023-01-02,Chanel,Australia,19,57000,3000
2021-06-14,Chanel,Middle East,46,138000,3000
2021-03-03,Chanel,Asia,14,42000,3000
2022-08-10,Chanel,Middle East,58,174000,3000
2022-02-01,Gucci,North America,73,87600,1200
2023-10-22,Louis Vuitton,North America,1,2500,2500
2022-06-05,Louis Vuitton,Asia,16,40000,2500
2022-06-01,Dior,North America,16,24000,1500
2024-01-29,Louis Vuitton,Asia,51,127500,2500
2024-08-31,Chanel,North America,42,126000,3000
2022-02-07,Louis Vuitton,Middle East,76,190000,2500
2024-04-07,Chanel,Europe,40,120000,3000
2024-04-18,Louis Vuitton,North America,87,217500,2500
2021-11-13,Dior,North America,51,76500,1500
2024-10-01,Dior,Middle East,52,78000,1500
2022-10-12,Rolex,North America,49,392000,8000
2024-06-16,Louis Vuitton,Australia,9,22500,2500
2021-08-13,Louis Vuitton,North America,53,132500,2500
2024-11-23,Dior,Australia,94,141000,1500
2022-06-05,Rolex,Europe,98,784000,8000
2023-08-26,Louis Vuitton,Australia,39,97500,2500
2021-09-29,Chanel,Australia,30,90000,3000
2023-03-16,Rolex,North America,32,256000,8000
2024-10-01,Dior,Asia,96,144000,1500
2024-12-29,Dior,Australia,10,15000,1500
2022-03-26,Chanel,Middle East,46,138000,3000
2023-04-08,Gucci,North America,26,31200,1200
2024-06-05,Louis Vuitton,North America,4,10000,2500
2023-07-03,Gucci,Asia,3,3600,1200
2021-05-31,Chanel,North America,61,183000,3000
2023-02-09,Rolex,Australia,36,288000,8000
2021-04-20,Dior,Asia,56,84000,1500
2022-03-13,Gucci,North America,61,73200,1200
2021-11-03,Dior,Middle East,30,45000,1500
2023-05-08,Gucci,Europe,21,25200,1200
2023-10-20,Chanel,Australia,29,87000,3000
2023-11-09,Dior,Europe,22,33000,1500
2023-07-29,Rolex,Middle East,43,344000,8000
2024-10-19,Dior,Middle East,93,139500,1500
2023-05-17,Chanel,Europe,51,153000,3000
2023-08-08,Louis Vuitton,North America,47,117500,2500
2022-03-20,Louis Vuitton,North America,91,227500,2500
2022-10-23,Rolex,North America,20,160000,8000
2021-09-16,Louis Vuitton,Australia,42,105000,2500
2021-09-17,Rolex,Australia,95,760000,8000
2021-03-11,Gucci,Europe,6,7200,1200
2023-09-14,Chanel,North America,74,222000,3000
2022-08-06,Chanel,North America,27,81000,3000
2024-01-21,Louis Vuitton,Australia,24,60000,2500
2024-10-29,Gucci,Europe,88,105600,1200
2024-08-27,Dior,Europe,30,45000,1500
2024-12-16,Dior,Middle East,78,117000,1500
2022-08-10,Louis Vuitton,Asia,86,215000,2500
2023-09-16,Louis Vuitton,Middle East,53,132500,2500
2023-04-01,Gucci,Middle East,84,100800,1200
2021-06-06,Chanel,Asia,61,183000,3000
2024-06-15,Chanel,Australia,24,72000,3000
2021-09-22,Louis Vuitton,Middle East,74,185000,2500
2023-11-10,Rolex,North America,49,392000,8000
2024-05-20,Gucci,Australia,31,37200,1200
2023-09-03,Gucci,Australia,79,94800,1200
2024-07-08,Rolex,Asia,42,336000,8000
2024-12-06,Rolex,Asia,49,392000,8000
2021-09-30,Gucci,North America,67,80400,1200
2021-06-02,Louis Vuitton,Middle East,75,187500,2500
2022-08-13,Louis Vuitton,Europe,24,60000,2500
2024-07-13,Rolex,Australia,67,536000,8000
2023-02-09,Louis Vuitton,Australia,66,165000,2500
2024-02-24,Louis Vuitton,Europe,89,222500,2500
2025-01-03,Louis Vuitton,Australia,36,90000,2500
2025-01-15,Louis Vuitton,Middle East,47,117500,2500
2024-05-05,Louis Vuitton,Middle East,55,137500,2500
2022-10-10,Dior,North America,20,30000,1500
2021-04-15,Rolex,North America,73,584000,8000
2023-12-31,Dior,Europe,43,64500,1500
2022-10-26,Rolex,Australia,96,768000,8000
2021-04-19,Rolex,Europe,11,88000,8000
2025-02-28,Louis Vuitton,Middle East,23,57500,2500
2022-01-13,Chanel,North America,45,135000,3000
2023-05-02,Louis Vuitton,Middle East,47,117500,2500
2022-01-20,Chanel,North America,29,87000,3000
2021-06-30,Gucci,Europe,71,85200,1200
2021-07-28,Gucci,Europe,30,36000,1200
2023-04-20,Louis Vuitton,Europe,30,75000,2500
2022-12-15,Dior,Asia,43,64500,1500
2022-09-27,Chanel,Europe,16,48000,3000
2024-03-20,Chanel,Europe,10,30000,3000
2023-12-02,Chanel,Europe,2,6000,3000
2023-10-19,Gucci,Middle East,54,64800,1200
2022-09-30,Louis Vuitton,Australia,91,227500,2500
2022-08-03,Dior,Europe,64,96000,1500
2025-01-14,Gucci,North America,40,48000,1200
2023-10-03,Dior,Middle East,63,94500,1500
2022-10-13,Dior,Australia,61,91500,1500
2024-10-23,Dior,Australia,92,138000,1500
2024-06-01,Dior,Asia,9,13500,1500
2022-07-11,Louis Vuitton,North America,26,65000,2500
2024-02-17,Chanel,Asia,15,45000,3000
2024-04-18,Chanel,Europe,35,105000,3000
2022-07-18,Louis Vuitton,Australia,76,190000,2500
2023-04-27,Chanel,North America,81,243000,3000
2024-03-19,Louis Vuitton,North America,15,37500,2500
2023-10-26,Rolex,North America,2,16000,8000
2021-11-30,Chanel,Europe,76,228000,3000
2023-08-12,Louis Vuitton,North America,69,172500,2500
2023-06-17,Gucci,Asia,45,54000,1200
2022-03-24,Dior,Europe,50,75000,1500
2021-05-03,Gucci,Australia,12,14400,1200
2021-03-27,Gucci,Europe,82,98400,1200
2022-11-03,Gucci,Asia,47,56400,1200
2021-08-20,Louis Vuitton,Australia,68,170000,2500
2023-05-10,Gucci,Middle East,37,44400,1200
2023-03-20,Dior,North America,61,91500,1500
2024-05-15,Dior,North America,25,37500,1500
2024-08-03,Dior,Australia,10,15000,1500
2022-03-06,Gucci,Europe,49,58800,1200
2021-04-15,Gucci,Australia,30,36000,1200
2021-10-01,Louis Vuitton,Australia,25,62500,2500
2023-11-05,Chanel,Middle East,57,171000,3000
2022-10-13,Dior,North America,92,138000,1500
2024-04-09,Dior,Australia,44,66000,1500
2024-10-19,Gucci,North America,25,30000,1200
2023-06-17,Dior,Middle East,52,78000,1500
2023-01-26,Louis Vuitton,Australia,65,162500,2500
2023-01-28,Chanel,Australia,70,210000,3000
2022-08-16,Chanel,Europe,74,222000,3000
2022-12-04,Dior,Europe,59,88500,1500
2024-10-31,Gucci,Australia,98,117600,1200
2022-07-12,Rolex,Australia,37,296000,8000
2024-02-09,Gucci,Australia,73,87600,1200
2022-05-16,Louis Vuitton,North America,33,82500,2500
2024-11-01,Gucci,North America,59,70800,1200
2025-02-02,Chanel,North America,56,168000,3000
2022-03-22,Chanel,Asia,66,198000,3000
2023-03-13,Rolex,Asia,51,408000,8000
2022-02-20,Gucci,North America,67,80400,1200
2022-02-23,Gucci,Europe,33,39600,1200
2021-04-06,Rolex,Asia,49,392000,8000
2022-12-07,Dior,Asia,52,78000,1500
2024-10-05,Chanel,Middle East,52,156000,3000
2022-07-06,Dior,Australia,22,33000,1500
2021-03-19,Dior,Australia,50,75000,1500
2024-11-26,Rolex,Europe,81,648000,8000
2024-05-28,Gucci,Middle East,14,16800,1200
2022-08-22,Rolex,North America,73,584000,8000
2025-01-23,Chanel,Europe,23,69000,3000
2024-10-31,Louis Vuitton,Middle East,88,220000,2500
2023-08-13,Gucci,Australia,65,78000,1200
2025-01-08,Chanel,North America,74,222000,3000
2021-11-12,Dior,Asia,84,126000,1500
2024-10-15,Gucci,Australia,84,100800,1200
2024-07-14,Rolex,Asia,87,696000,8000
2022-04-05,Rolex,Europe,89,712000,8000
2022-02-16,Chanel,Australia,57,171000,3000
2021-03-04,Chanel,North America,41,123000,3000
2022-12-09,Chanel,North America,70,210000,3000
2023-10-11,Gucci,Australia,37,44400,1200
2021-08-11,Louis Vuitton,Australia,43,107500,2500
2024-10-12,Chanel,Middle East,25,75000,3000
2025-02-04,Dior,Middle East,80,120000,1500
2021-12-30,Louis Vuitton,North America,59,147500,2500
2021-11-03,Gucci,Europe,17,20400,1200
2022-10-14,Dior,Europe,52,78000,1500
2022-09-03,Dior,North America,17,25500,1500
2022-01-26,Rolex,North America,32,256000,8000
2024-01-02,Louis Vuitton,Middle East,99,247500,2500
2023-10-31,Louis Vuitton,Australia,97,242500,2500
2021-05-01,Dior,Europe,9,13500,1500
2024-10-22,Louis Vuitton,Middle East,59,147500,2500
2022-08-05,Dior,Middle East,59,88500,1500
2023-05-07,Chanel,Middle East,50,150000,3000
2023-04-10,Dior,Europe,12,18000,1500
2022-09-27,Dior,Australia,60,90000,1500
2025-01-17,Chanel,Europe,36,108000,3000
2024-09-30,Rolex,Asia,59,472000,8000
2024-11-09,Rolex,Asia,40,320000,8000
2023-02-23,Chanel,Middle East,75,225000,3000
2025-02-15,Louis Vuitton,Middle East,61,152500,2500
2023-07-08,Rolex,Asia,73,584000,8000
2023-07-02,Rolex,Europe,87,696000,8000
2025-02-01,Gucci,Middle East,29,34800,1200
2024-07-25,Gucci,North America,34,40800,1200
2021-11-22,Gucci,Australia,44,52800,1200
2022-08-09,Gucci,Australia,67,80400,1200
2023-02-06,Rolex,Asia,95,760000,8000
2023-09-23,Rolex,Europe,69,552000,8000
2022-01-08,Chanel,Europe,39,117000,3000
2022-03-22,Gucci,Middle East,27,32400,1200
2021-08-31,Rolex,North America,35,280000,8000
2021-03-28,Chanel,North America,99,297000,3000
2022-01-26,Dior,North America,32,48000,1500
2022-10-23,Louis Vuitton,North America,59,147500,2500
2023-07-08,Gucci,Middle East,58,69600,1200
2022-06-11,Louis Vuitton,Asia,82,205000,2500
2022-06-26,Gucci,Australia,15,18000,1200
2022-02-07,Dior,Europe,78,117000,1500
2021-04-11,Chanel,Middle East,82,246000,3000
2022-09-08,Rolex,Asia,30,240000,8000
2024-11-30,Dior,Australia,62,93000,1500
2021-06-29,Rolex,Middle East,60,480000,8000
2024-09-25,Rolex,Asia,91,728000,8000
2024-11-24,Rolex,North America,16,128000,8000
2021-04-08,Gucci,Middle East,26,31200,1200
2022-05-29,Chanel,North America,77,231000,3000
2023-12-23,Louis Vuitton,Asia,80,200000,2500
2021-11-27,Louis Vuitton,Asia,83,207500,2500
2025-02-12,Louis Vuitton,Asia,2,5000,2500
2023-09-07,Gucci,Middle East,31,37200,1200
2023-06-22,Louis Vuitton,Europe,87,217500,2500
2021-07-10,Rolex,Asia,59,472000,8000
2023-03-04,Dior,Asia,51,76500,1500
2023-01-30,Gucci,Australia,51,61200,1200
2021-07-28,Dior,Middle East,29,43500,1500
2022-09-14,Gucci,North America,96,115200,1200
2024-05-08,Louis Vuitton,Asia,29,72500,2500
2021-08-05,Louis Vuitton,Europe,91,227500,2500
2021-03-04,Dior,Australia,89,133500,1500
2024-02-20,Gucci,Asia,35,42000,1200
2023-09-09,Dior,Europe,27,40500,1500
2022-12-21,Dior,Australia,73,109500,1500
2024-12-16,Chanel,Asia,9,27000,3000
2023-12-09,Gucci,Asia,70,84000,1200
2023-08-17,Dior,Europe,22,33000,1500
2023-11-26,Louis Vuitton,Australia,13,32500,2500
2021-09-14,Dior,Australia,97,145500,1500
2024-01-10,Rolex,Australia,92,736000,8000
2024-03-26,Chanel,North America,58,174000,3000
2021-05-07,Chanel,Asia,85,255000,3000
2023-03-14,Louis Vuitton,Asia,65,162500,2500
2022-12-08,Gucci,North America,97,116400,1200
2024-02-01,Gucci,North America,75,90000,1200
2022-11-01,Chanel,Australia,63,189000,3000
2022-08-30,Rolex,Europe,37,296000,8000
2022-06-22,Rolex,Middle East,62,496000,8000
2025-01-12,Chanel,Australia,8,24000,3000
2024-07-08,Rolex,Europe,22,176000,8000
2022-10-14,Dior,North America,41,61500,1500
2024-12-26,Rolex,Australia,3,24000,8000
2021-09-02,Louis Vuitton,Europe,48,120000,2500
2023-06-16,Rolex,Australia,38,304000,8000
2021-08-06,Chanel,Australia,8,24000,3000
2021-05-15,Chanel,Europe,96,288000,3000
2023-04-22,Louis Vuitton,North America,32,80000,2500
2021-03-26,Dior,Asia,44,66000,1500
2023-06-02,Louis Vuitton,North America,93,232500,2500
2025-01-06,Dior,Asia,58,87000,1500
2022-11-22,Gucci,Australia,15,18000,1200
2022-08-23,Gucci,Asia,66,79200,1200
2023-03-29,Gucci,Australia,53,63600,1200
2021-05-16,Dior,Europe,59,88500,1500
2023-02-26,Dior,Europe,79,118500,1500
2021-09-14,Rolex,Asia,86,688000,8000
2021-05-28,Dior,Europe,34,51000,1500
2023-03-02,Rolex,Europe,9,72000,8000
2023-07-24,Chanel,Australia,94,282000,3000
2022-01-24,Dior,Asia,78,117000,1500
2021-12-02,Louis Vuitton,North America,12,30000,2500
2023-01-27,Dior,North America,66,99000,1500
2021-06-24,Rolex,Australia,94,752000,8000
